Full,,,,,,,,,,variant,acc_mean,acc_std
,variant,acc_mean,acc_std,,,,,,1,full_ft,0.51149861005812436,5.2647628647967586E-3
1,full_ft,0.51149861005812436,5.2647628647967586E-3,,,,,,,,,
r8,,,,,,,,,r8,,,
,variant,acc_mean,acc_std,,,,,,,variant,acc_mean,acc_std
1,lora,0.57543593631539003,5.6734759465865972E-3,,,,,,1,lora,0.57543593631539003,5.6734759465865972E-3
2,flat_lora,0.57568865301996397,9.4760339950733189E-3,,,,,,2,flat_lora,0.57568865301996397,9.4760339950733189E-3
3,lora_pacf,0.57644680313368668,3.1765997194788515E-3,,,,,,3,lora_pacf,0.57644680313368668,3.1765997194788515E-3
r16,,,,,,,,,r16,,,
,variant,acc_mean,acc_std,,,,,,,variant,acc_mean,acc_std
1,lora,0.57998483699772496,8.7324501102711317E-3,,,,,,1,lora,0.57998483699772496,8.7324501102711317E-3
2,flat_lora,0.57316148597422267,8.1889571625067426E-3,,,,,,2,flat_lora,0.57316148597422267,8.1889571625067426E-3
3,lora_pacf,0.58478645438463461,6.1071751193299611E-3,,,,,,3,lora_pacf,0.58478645438463461,6.1071751193299611E-3
full,,,,,,,,,,,,
,ts,task,variant,mode,run_name,metric,value,n,args,,,
1,20260123-233024,math,full,single,math-full-seed1-e2-lr0.0001-pac1e-05-wr0.3-drop0.05-r8-a16,gsm8k_em,0.53752843062926403,1319,"{""task"": ""math"", ""variant"": ""full"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""runs_llm_v22_full"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0001, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 1e-05, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 1, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
2,20260124-185311,math,full,single,math-full-seed2-e2-lr0.0001-pac1e-05-wr0.3-drop0.05-r8-a16,gsm8k_em,0.50720242608036303,1319,"{""task"": ""math"", ""variant"": ""full"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""runs_llm_v22_full"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0001, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 1e-05, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 2, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
3,20260125-004109,math,full,single,math-full-seed3-e2-lr0.0001-pac1e-05-wr0.3-drop0.05-r8-a16,gsm8k_em,0.52767247915087101,1319,"{""task"": ""math"", ""variant"": ""full"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""runs_llm_v22_full"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0001, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 1e-05, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 3, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
,,,,,,mean,0.52413444528683273,,,,,
,,,,,,std,1.2630779883345879E-2,,,,,
r8,,,,,,,,,,,,
lora,,,,,,,,,,,,
,ts,task,variant,mode,run_name,metric,value,n,args,,,
1,20260117-002035,math,lora,single,math-lora-seed1-e2-lr0.0005-pac0.0-wr0.3-drop0.05-r8-a16,gsm8k_em,0.58150113722517005,1319,"{""task"": ""math"", ""variant"": ""lora"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""llm_gsm8k_v22_lora"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0005, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 0.0, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 1, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
2,20260117-040833,math,lora,single,math-lora-seed2-e2-lr0.0005-pac0.0-wr0.3-drop0.05-r8-a16,gsm8k_em,0.56785443517816503,1319,"{""task"": ""math"", ""variant"": ""lora"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""llm_gsm8k_v22_lora"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0005, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 0.0, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 2, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
3,20260117-074754,math,lora,single,math-lora-seed3-e2-lr0.0005-pac0.0-wr0.3-drop0.05-r8-a16,gsm8k_em,0.57695223654283501,1319,"{""task"": ""math"", ""variant"": ""lora"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""llm_gsm8k_v22_lora"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0005, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 0.0, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 3, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
,,,,,,mean,0.57543593631539003,,,,,
,,,,,,std,5.6734759465865972E-3,,,,,
flat-lora,,,,,,,,,,,,
,ts,task,variant,mode,run_name,metric,value,n,args,,,
1,20260117-112517,math,flat_lora,single,math-flat_lora-seed1-e2-lr0.0005-pac0.0-wr0.3-drop0.05-r8-a16,gsm8k_em,0.56861258529188696,1319,"{""task"": ""math"", ""variant"": ""flat_lora"", ""mode"": ""single"", ""model"": ""meta-llama/Llama-2-7b-hf"", ""out"": ""llm_gsm8k_v22_flat"", ""lora_r"": 8, ""lora_alpha"": 16, ""lora_dropout"": 0.05, ""epochs"": 2, ""lr"": 0.0005, ""wd"": 0.0, ""warmup"": 0.03, ""batch"": 2, ""eval_bs"": 4, ""accum"": 16, ""scheduler"": ""cosine"", ""flat_sigma"": 0.05, ""pac_lambda"": 0.0, ""reg_warm"": 0.3, ""grid_lam"": [5e-06, 1e-05, 2e-05], ""grid_wr"": [0.25, 0.3], ""seed"": 1, ""wandb_project"": null, ""wandb_mode"": ""disabled"", ""debug_n"": -1}",,,
